25 20
#############            
#...........#    ########
#...s...s...######......#
#.......................#
#...........######...m..#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#  
    #..#           #..#  
    #..#         ###..###
  ###..####      #......#
  #..p....#      #..g...#
  #.......#      #......#
  #.......#      #..k...#
  #.......#      #......#
  #.......#      #......#
  #..S....#      #......#
  #########      ###d####
